Eisean	Pron:Pers:3P:Sg:Masc:Emph	eisean
dtéann	Verb:VTI:PresInd:Ecl	téigh
a	Det:Poss:3P:Pl	a
gcuid	Noun:Fem:Com:Sg:Ecl	cuid
suíomh	Noun:Masc:Gen:Weak:Pl	suíomh
chun	Prep:Simp	chun
tairbhe	Noun:Fem:Com:Sg	tairbhe
dá	Prep:Poss:3P:Pl	do
gcuid	Noun:Fem:Com:Sg:Ecl	cuid
feidhmeanna	Noun:Fem:Com:Pl	feidhm
.	Punct:Fin	.
Ní	Part:Vb:Neg	ní
raibh	Verb:PastInd:Dep:Neg:Len	bí
ar	Prep:Simp	ar
a	Det:Poss:3P:Sg:Masc	a
pholl	Noun:Masc:Com:Sg:Len	poll
thiar	Adv:Dir	thiar
.	Punct:Fin	.
CATHAIR	Noun:Fem:Com:Sg	cathair
NUA	Adj:Base	nua
Le	Prep:Simp	le
dhá	Num:Card	dó
ghlúin	Noun:Fem:Com:Sg:Len	glúin
anuas	Adv:Dir	anuas
,	Punct:Int	,
tá	Verb:PresInd	bí
pobal	Noun:Masc:Com:Sg	pobal
Gaeilge	Prop:Noun:Fem:Gen:Sg	Gaeilge
Bhéal	Prop:Noun:Masc:Com:Sg:Len	Béal
Feirste	Prop:Noun:Masc:Gen:Sg	Feirste
ag	Prep:Simp	ag
obair	Verbal:Noun:NStem	obair
go	Part:Ad	go
dúthrachtach	Adj:Base	dúthrachtach
le	Prep:Simp	le
hinfrastruchtúr	Noun:Masc:Com:Sg:Pref	struchtúr
pobail	Noun:Masc:Gen:Sg	pobal
a	Part:Inf	a
thógáil	Verbal:Noun:Len	tóg
.	Punct:Fin	.
Ní	Part:Vb:Neg	ní
raibh	Verb:PastInd:Dep:Neg:Len	bí
ach	Conj:Subord	ach
24	Num:Dig	24
ina	Prep:Poss:3P:Pl	i
gcónaí	Noun:Masc:Com:Sg:Ecl	cónaí
ann	Pron:Prep:3P:Sg:Masc	i
i	Prep:Simp	i
1991	Num:Dig	1991
ach	Conj:Subord	ach
bíonn	Verb:PresImp	bí
Clann	Noun:Fem:Com:Sg	clann
Mc	Part:Pat	mac
Ewen	Prop:Noun:Masc:Gen:Sg:Len	Ewen
ag	Prep:Simp	ag
déanamh	Verbal:Noun	déanamh
fógraíochta	Noun:Fem:Gen:Sg	fógraíocht
ag	Prep:Simp	ag
iarraidh	Verbal:Noun:VT	iarraidh
teaghlaigh	Noun:Masc:Com:Pl	teaghlach
a	Part:Inf	a
mhealladh	Verbal:Noun:VT:Len	mealladh
chun	Prep:Simp	chun
an	Art:Sg:Def	an
oileáin	Noun:Masc:Gen:Sg:DefArt	oileán
.	Punct:Fin	.
'	Punct:Quo	'
File	Prop:Noun:Masc:Com:Sg	File
cumasach	Adj:Masc:Com:Sg	cumasach
eile	Det:Dem	eile
ab	Cop:Past:Rel:VF	is
ea	Pron:Pers:3P:Sg	ea
Dónall	Prop:Noun:Masc:Com:Sg	Dónall
Ó	Part:Pat	ó
Muláin	Prop:Noun:Masc:Com:Sg	Muláin
,	Punct:Int	,
údar	Noun:Masc:Com:Sg	údar
an	Art:Sg:Def	an
amhráin	Noun:Masc:Gen:Sg:DefArt	amhrán
úd	Det:Dem	úd
'	Punct:Quo	'
An	Art:Sg:Def	an
Poc	Noun:Masc:Com:Sg:DefArt	poc
ar	Prep:Simp	ar
Buile	Noun:Fem:Com:Sg	buile
'	Punct:Quo	'
,	Punct:Int	,
amhrán	Noun:Masc:Com:Sg	amhrán
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
báidh	Noun:Fem:Com:Sg	báidh
an	Art:Sg:Def	an
phobail	Noun:Masc:Gen:Sg:DefArt	pobal
leis	Pron:Prep:3P:Sg:Masc	le
,	Punct:Int	,
agus	Conj:Coord	agus
amhrán	Noun:Masc:Com:Sg	amhrán
a	Part:Vb:Rel:Direct	a
chan	Verb:VTI:PastInd:Len	can
Gaeilgeoirí	Noun:Masc:Com:Pl	Gaeilgeoir
le	Prep:Simp	le
fuinneamh	Noun:Masc:Com:Sg	fuinneamh
,	Punct:Int	,
le	Prep:Simp	le
scléip	Noun:Fem:Com:Sg	scléip
agus	Conj:Coord	agus
le	Prep:Simp	le
gliondar	Noun:Masc:Com:Sg	gliondar
ní	Cop:Pres:Neg	is
hamháin	Adj:Base:hPref	amháin
ar	Prep:Simp	ar
fuaid	Noun:Fem:Com:Sg	fuaid
na	Art:Gen:Sg:Def:Fem	na
hÉireann	Prop:Noun:Fem:Gen:Sg:DefArt	Éire
,	Punct:Int	,
ach	Conj:Subord	ach
go	Part:Ad	go
deimhin	Adj:Base	deimhin
ar	Prep:Simp	ar
fuaid	Noun:Fem:Com:Sg	fuaid
an	Art:Sg:Def	an
domhain	Noun:Masc:Gen:Sg:DefArt	domhan
.	Punct:Fin	.
Tugann	Verb:VTI:PresInd	tabhair
An	Art:Sg:Def	an
Seabhac	Noun:Masc:Com:Sg:DefArt	seabhac
éachtaint	Noun:Fem:Com:Sg	éachtaint
bhreise	Noun:Fem:Gen:Sg:Len	breis
dúinn	Pron:Prep:1P:Pl	do
san	Prep:Art:Sg	i
alt	Noun:Masc:Com:Sg	alt
chéanna	Adj:Masc:Com:Sg	céanna
ar	Prep:Simp	ar
cén	Pron:Q:Art:Sg	cé
sórt	Noun:Masc:Com:Sg:DefArt	sórt
comhairle	Noun:Fem:Gen:Sg	comhairle
í	Pron:Pers:3P:Sg:Fem	í
.	Punct:Fin	.
'	Punct:Quo	'
Níor	Cop:Past:Neg	is
ghá	Noun:Masc:Com:Sg:Len	gá
ach	Conj:Subord	ach
sracfhéachaint	Noun:Fem:Com:Sg	sracfhéachaint
ar	Prep:Simp	ar
an	Art:Sg:Def	an
ealaín	Noun:Fem:Com:Sg:DefArt	ealaín
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
ar	Prep:Simp	ar
siúl	Verbal:Noun:VTI	siúl
ag	Prep:Simp	ag
Comhdháil	Noun:Fem:Com:Sg	comhdháil
Vín	Prop:Noun:Masc:Gen:Sg:Len	Vín
go	Part:Vb:Cmpl	go
dtuigfí	Verb:VTI:Cond:Auto:Ecl	tuig
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
féin	Pron:Ref	féin
i	Prep:Simp	i
mála	Noun:Masc:Com:Sg	mála
an	Art:Sg:Def	an
tsnátha	Noun:Masc:Gen:Sg:DefArt	snáth
ghil	Adj:Masc:Gen:Sg	geal
anois	Adv:Gn	anois
.	Punct:Fin	.
Mar	Conj:Subord	mar
a	Part:Vb:Rel:Direct	a
tchítear	Verb:PresInd:PresInd:Auto	tchí
do	Prep:Simp	do
Sheosamh	Prop:Noun:Masc:Com:Sg:Len	Seosamh
Mac	Part:Pat	mac
Grianna	Prop:Noun:Masc:Gen:Sg	Grianna
é	Pron:Pers:3P:Sg:Masc	é
caithfidh	Verb:VTI:FutInd	caith
an	Art:Sg:Def	an
t-ealaíontóir	Noun:Masc:Com:Sg:DefArt	ealaíontóir
an	Art:Sg:Def	an
solas	Noun:Masc:Com:Sg:DefArt	solas
a	Part:Inf	a
thabhairt	Verbal:Noun:VTI:Len	tabhairt
don	Prep:Art:Sg	do
saol	Noun:Masc:Com:Sg:DefArt	saol
agus	Conj:Coord	agus
diúltú	Noun:Masc:Com:Sg	diúltú
do	Prep:Simp	do
chathú	Noun:Masc:Com:Sg:Len	cathú
sin	Pron:Dem	sin
na	Art:Gen:Sg:Def:Fem	na
truaillíochta	Noun:Fem:Gen:Sg	truaillíochta
a	Part:Vb:Rel:Direct	a
chuireann	Verb:VTI:PresInd:Len	cuir
an	Art:Sg:Def	an
saol	Noun:Masc:Com:Sg:DefArt	saol
ina	Prep:Poss:3P:Sg:Masc	i
chosán	Noun:Masc:Com:Sg:Len	cosán
.	Punct:Fin	.
'	Punct:Quo	'
Troy	Prop:Noun:Masc:Com:Sg	Troy
anseo	Adv:Loc	anseo
.	Punct:Fin	.
An	Art:Sg:Def	an
t-ionad	Noun:Masc:Com:Sg:Def	ionad
?	?	?
Grainc	Noun:Fem:Com:Sg	grainc
a	Part:Vb:Rel:Direct	a
thagas	Verb:VI:PresInd:Rel:Len	tagas
ann	Pron:Prep:3P:Sg:Masc	i
,	Punct:Int	,
i.e.	Abr	i.e.
ina	Prep:Poss:3P:Sg:Masc	i
éadan	Noun:Masc:Com:Sg	éadan
nuair	Conj:Subord	nuair
a	Part:Vb:Rel:Direct	a
ghortaítear	Verb:VT:PresInd:Auto:Len	gortaigh
é	Pron:Pers:3P:Sg:Masc	é
nó	Conj:Coord	nó
nuair	Conj:Subord	nuair
a	Part:Vb:Rel:Direct	a
bhíos	Verb:PastInd:1P:Sg:Len	bí
pian	Noun:Fem:Com:Sg	pian
air	Pron:Prep:3P:Sg:Masc	ar
.	Punct:Fin	.
Agus	Conj:Coord	agus
bhuail	Verb:PastInd:Len	buail
lacha	Noun:Fem:Com:Sg	lacha
bhuí	Adj:Fem:Com:Sg	buí
leo	Pron:Prep:3P:Pl	le
.	Punct:Fin	.
Déanann	Verb:VTI:PresInd	déan
siad	Pron:Pers:3P:Pl:Sbj	siad
poll	Noun:Masc:Com:Sg	poll
a	Part:Inf	a
thochailt	Verbal:Noun:Len	tochailt
ansin	Adv:Loc	ansin
agus	Conj:Coord	agus
beireann	Verb:VTI:PresInd	beir
siad	Pron:Pers:3P:Pl:Sbj	siad
a	Det:Poss:3P:Pl	a
gcuid	Noun:Fem:Com:Sg:Ecl	cuid
uibheacha	Noun:Fem:Gen:Strong:Pl:Idf	ubh
sa	Prep:Art:Sg	i
ghaineamh	Noun:Masc:Com:Sg:Len	gaineamh
le	Prep:Simp	le
haghaidh	Noun:Fem:Com:Sg	aghaidh
a	Det:Poss:3P:Pl	a
ngoradh	Verbal:Noun:Ecl	goradh
.	Punct:Fin	.
Dúirt	Verb:VTI:Vow:PastInd	abair
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
nár	Cop:Past:Rel:Neg	is
múinteoir	Noun:Masc:Com:Sg	múinteoir
é	Pron:Pers:3P:Sg:Masc	é
.	Punct:Fin	.
Ní	Part:Vb:Neg	ní
mheastar	Verb:VTI:PresInd:Auto:Neg:Len	meas
go	Part:Vb:Cmpl	go
mbaineann	Verb:VTI:PresInd:Ecl	bain
an	Art:Sg:Def	an
t-eolas	Noun:Masc:Com:Sg:DefArt	eolas
breise	Noun:Fem:Gen:Sg	breis
a	Part:Vb:Rel:Direct	a
lorgaíodh	Verb:VTI:PastInd:Auto	lorg
le	Prep:Simp	le
gné	Noun:Fem:Com:Sg	gné
ar	Prep:Simp	ar
bith	Subst:Noun:Sg	bith
den	Prep:Art:Sg	de
obair	Noun:Fem:Com:Sg:DefArt	obair
theicniúil	Adj:Fem:Com:Sg	teicniúil
a	Part:Vb:Rel:Direct	a
bhaineann	Verb:VTI:PresInd:Len	bain
le	Prep:Simp	le
tógáil	Noun:Fem:Com:Sg	tógáil
an	Art:Sg:Def	an
stáisiúin	Noun:Masc:Gen:Sg:DefArt	stáisiún
agus	Conj:Coord	agus
níl	Verb:PresInd:Neg	bí
fáth	Noun:Masc:Com:Sg	fáth
ar	Prep:Simp	ar
bith	Subst:Noun:Sg	bith
nach	Part:Vb:Neg:Cmpl	nach
mbeadh	Verb:Cond:Ecl	bí
cead	Noun:Masc:Com:Sg	cead
foirmiúil	Adj:Masc:Com:Sg	foirmiúil
le	Prep:Simp	le
fáil	Verbal:Noun:VT	fáil
ag	Prep:Simp	ag
deireadh	Noun:Masc:Com:Sg	deireadh
na	Art:Gen:Sg:Def:Fem	na
míosa	Noun:Fem:Gen:Sg:DefArt	mí
seo	Det:Dem	seo
nó	Conj:Coord	nó
go	Part:Ad	go
luath	Adj:Base	luath
an	Art:Sg:Def	an
mhí	Noun:Fem:Com:Sg:Len	mí
seo	Det:Dem	seo
chugainn	Pron:Prep:1P:Pl	chuig
.	Punct:Fin	.
Dhiúltaigh	Verb:VTI:PastInd:Neg:Len	diúltaigh
Johnathan	Prop:Noun:Masc:Com:Sg	Johnathan
Cape	Prop:Noun:Masc:Com:Sg	Cape
agus	Conj:Coord	agus
cúpla	Noun:Masc:Com:Sg	cúpla
foilsitheoir	Noun:Masc:Com:Sg	foilsitheoir
eile	Det:Dem	eile
an	Art:Sg:Def	an
leabhar	Noun:Masc:Com:Sg:Def	leabhar
a	Part:Inf	a
fhoilsiú	Verbal:Noun:Len	foilsiú
agus	Conj:Coord	agus
bhí	Verb:PastInd:Len	bí
Naomi	Prop:Noun:Masc:Com:Sg	Naomi
le	Prep:Simp	le
ceangal	Verbal:Noun	ceangal
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
srian	Noun:Masc:Com:Sg	srian
a	Part:Inf	a
chur	Verbal:Noun:Len	cur
ar	Prep:Simp	ar
a	Det:Poss:3P:Sg:Fem	a
cuid	Noun:Fem:Com:Sg	cuid
tuairimíochta	Noun:Fem:Gen:Sg	tuairimíocht
.	Punct:Fin	.
Bhí	Verb:PastInd:Len	bí
an	Art:Sg:Def	an
máistir	Noun:Masc:Com:Sg:Def	máistir
ar	Prep:Simp	ar
cuairt	Noun:Fem:Com:Sg	cuairt
ar	Prep:Simp	ar
an	Art:Sg:Def	an
mBuailtín	Noun:Masc:Com:Sg:Ecl	buailtín
tar	Verb:VI:Imperf:2P:Sg	tar
éis	Subst:Noun:Sg	éis
dó	Pron:Prep:3P:Sg:Masc	do
an	Art:Sg:Def	an
scoilbhliain	Noun:Fem:Com:Sg	bliain
a	Part:Inf	a
chríochnú	Verbal:Noun:Len	críochnú
sa	Prep:Art:Sg	i
chathair	Noun:Fem:Com:Sg:Def	cathair
.	Punct:Fin	.
Níor	Part:Vb:Neg:Past	níor
cúisíodh	Verb:VT:PastInd:Auto	cúisigh
duine	Noun:Masc:Com:Sg	duine
ar	Prep:Simp	ar
bith	Subst:Noun:Sg	bith
ina	Prep:Poss:3P:Sg:Masc	i
mharú	Verbal:Noun:VTI:Len	marú
.	Punct:Fin	.
Grianghraif	Noun:Masc:Com:Pl	grianghraf
le	Prep:Simp	le
Maidhc	Prop:Noun:Masc:Com:Sg	Maidhc
Ó	Part:Pat	ó
Seachnasaí	Noun:Masc:Com:Sg	seachnasaí
.	Punct:Fin	.
Is	Cop:Pres	is
é	Pron:Pers:3P:Sg:Masc	é
sin	Pron:Dem	sin
an	Art:Sg:Def	an
córas	Noun:Masc:Com:Sg:DefArt	córas
'	Punct:Quo	'
liosta	Noun:Masc:Gen:Sg	liosta
'	Punct:Quo	'
.	Punct:Fin	.
Dhéanadh	Verb:VTI:PastImp:Len	déan
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
an	Art:Sg:Def	an
turas	Noun:Masc:Com:Sg:Def	turas
seo	Det:Dem	seo
uair	Noun:Fem:Com:Sg	uair
in	Prep:Simp:Vow	i
aghaidh	Noun:Fem:Com:Sg	aghaidh
na	Art:Gen:Sg:Def:Fem	na
míosa	Noun:Fem:Gen:Sg:Def	mí
chun	Prep:Simp	chun
roinnt	Noun:Fem:Com:Sg	roinnt
ama	Noun:Masc:Gen:Sg	am
a	Part:Inf	a
chaitheamh	Verbal:Noun:Len	caitheamh
lena	Prep:Poss	le
iníon	Noun:Fem:Com:Sg	iníon
,	Punct:Int	,
Siobhán	Prop:Noun:Fem:Com:Sg	Siobhán
,	Punct:Int	,
agus	Conj:Coord	agus
leis	Prep:Simp	le
na	Art:Pl:Def	na
leanaí	Noun:Masc:Com:Pl:Def	leanbh
.	Punct:Fin	.
Meabhraítear	Verb:VTI:PresInd:Auto	meabhraigh
dhá	Num:Card	dó
arcaitíopa	Noun:Masc:Com:Pl	arcaitíop
Mháire	Prop:Noun:Fem:Gen:Len	Máire
dúinn	Pron:Prep:1P:Pl	do
arís	Adv:Gn	arís
,	Punct:Int	,
'	Punct:Quo	'
fear	Noun:Masc:Com:Sg	fear
sanntach	Adj:Masc:Com:Sg	sanntach
saoghalta	Adj:Masc:Com:Sg	saoghalta
agus	Conj:Coord	agus
fear	Noun:Masc:Com:Sg	fear
fial	Adj:Masc:Com:Sg	fial
fileamhanta	Adj:Masc:Com:Sg	fileamhanta
'	Punct:Quo	'
,	Punct:Int	,
(	Punct	(
1942	Num:Dig	1942
,	Punct:Int	,
5)	Item	5)
a	Part:Vb:Rel:Direct	a
luaigh	Verb:VTI:PastInd:Len	luaigh
mé	Pron:Pers:1P:Sg	mé
i	Prep:Simp	i
gCaibidil	Noun:Fem:Com:Sg	caibidil
1	Num:Dig	1
.	Punct:Fin	.
Tá	Verb:PresInd	bí
an	Art:Sg:Def	an
teicníocht	Noun:Fem:Com:Sg	teicníocht
inste	Verbal:Adj	inste
a	Part:Vb:Rel:Direct	a
roghnaíonn	Verb:VT:PresInd	roghnaigh
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
thar	Prep:Simp	thar
a	Part:Inf	a
bheith	Verbal:Noun:VI:Len	bheith
éifeachtach	Adj:Base	éifeachtach
.	Punct:Fin	.
Bhí	Verb:PastInd:Len	bí
leidí	Noun:Fem:Com:Pl	leidí
fánacha	Adj:Com:NotSlen:Pl	fánach
den	Prep:Art:Sg	de
chineál	Noun:Masc:Com:Sg:Len	cineál
céanna	Adj:Base:Len	céanna
le	Prep:Simp	le
sonrú	Verbal:Noun	sonrú
roimhe	Pron:Prep:3P:Sg:Masc	roimh
sin	Pron:Dem	sin
i	Prep:Simp	i
scéalta	Noun:Masc:Com:Pl	scéal
ar	Prep:Simp	ar
nós	Noun:Masc:Com:Sg	nós
'	Punct:Quo	'
Leatrom	Noun:Masc:Com:Sg	leatrom
na	Art:Gen:Sg:Def:Fem	na
Cinniúna	Noun:Fem:Gen:Sg:Def	cinniúint
'	Punct:Quo	'
,	Punct:Int	,
'	Punct:Quo	'
Mac	Noun:Masc:Com:Sg	mac
Rí	Noun:Masc:Com:Sg	rí
na	Art:Gen:Sg:Def:Fem	na
nDeachmann	Noun:Fem:Com:Sg	ndeachmann
'	Punct:Quo	'
agus	Conj:Coord	agus
'	Punct:Quo	'
Gan	Prep:Simp	gan
Murcha	Prop:Noun:Masc:Com:Sg	Murcha
gan	Prep:Simp	gan
Manas	Noun:Masc:Com:Sg	manas
'	Punct:Quo	'
(	Punct	(
Idir	Prep:Simp	idir
Shúgradh	Noun:Masc:Com:Sg	súgradh
agus	Conj:Coord	agus
Dáiríre	Noun:Masc:Com:Sg	dáiríre
)	Punct	)
agus	Conj:Coord	agus
in	Prep:Simp	i
'	Punct:Quo	'
Tnúthán	Noun:Masc:Com:Sg	tnúthán
an	Art:Sg:Def	an
Dúchais	Noun:Masc:Gen:Sg	dúchas
'	Punct:Quo	'
agus	Conj:Coord	agus
'	Punct:Quo	'
Ag	Prep:Simp	ag
Dul	Verbal:Noun:VI	dul
ar	Prep:Simp	ar
Aghaidh	Noun:Fem:Com:Sg	aghaidh
'	Punct:Quo	'
(	Punct	(
An	Art:Sg:Def	an
Braon	Noun:Masc:Com:Sg:Def	braon
Broghach	Adj:Masc:Com:Sg	broghach
)	Punct	)
.	Punct:Fin	.
Seachas	Prep:Simp	seachas
na	Art:Pl:Def	na
foclóirí	Noun:Masc:Com:Pl:DefArt	foclóir
,	Punct:Int	,
ní	Cop:Pres:Neg	is
heol	Noun:Masc:Com:Sg:Pref	eol
dom	Pron:Prep:1P:Sg	do
a	Det:Poss:3P:Sg:Masc	a
mhacasamhail	Noun:Fem:Com:Sg:Len	macasamhail
seo	Pron:Dem	seo
de	Prep:Simp	de
dhéantús	Noun:Masc:Com:Sg:Len	déantús
lenár	Prep:Poss:1P:Pl	le
linn	Noun:Fem:Com:Sg	linn
ach	Conj:Subord	ach
An	Art:Sg:Def	an
Bíobla	Noun:Masc:Com:Sg:DefArt	Bíobla
Naofa	Adj:Masc:Com:Sg	naofa
,	Punct:Int	,
agus	Conj:Coord	agus
féach	Verb:VTI:Imper:2P:Sg	féach
gur	Cop:Pres:Dep	is
oiriúnach	Adj:Base	oiriúnach
ar	Prep:Simp	ar
fad	Noun:Masc:Com:Sg	fad
gurb	Cop:Pres:Dep:VF	is
é	Pron:Pers:3P:Sg:Masc	é
Fear	Noun:Masc:Com:Sg	fear
an	Art:Sg:Def	an
Leabhair	Noun:Masc:Gen:Sg	leabhar
úd	Det:Dem	úd
Pádraig	Prop:Noun:Masc:Com:Sg	Pádraig
Ó	Part:Pat	ó
Fiannachta	Prop:Noun:Masc:Com:Sg	Fiannachta
atá	Verb:PresInd:Rel	bí
faoi	Prep:Simp	faoi
ómós	Noun:Masc:Com:Sg	ómós
mar	Prep:Simp	mar
Fhear	Noun:Masc:Com:Sg:Len	fear
an	Art:Sg:Def	an
Leabhair	Noun:Masc:Gen:Sg	leabhar
seo	Det:Dem	seo
anois	Adv:Gn	anois
:	Punct:Int	:
an	Art:Sg:Def	an
dara	Num:Ord	dara
bíobla	Noun:Masc:Com:Pl	bíobla
,	Punct:Int	,
dá	Conj:Subord	dá
n-abrainn	Verb:PastImp:PastImp:1P:Sg	n-abr
é	Pron:Pers:3P:Sg:Masc	é
.	Punct:Fin	.
Tagann	Verb:VI:PresInd	tar
a	Det:Poss:3P:Sg:Masc	a
ráiteas	Noun:Masc:Com:Sg	ráiteas
tar	Verb:VI:Imperf:2P:Sg	tar
éis	Subst:Noun:Sg	éis
don	Prep:Art:Sg	do
chomhlacht	Noun:Masc:Com:Sg:Len	comhlacht
a	Part:Inf	a
rá	Verbal:Noun:VTI	rá
le	Prep:Simp	le
hoibrithe	Noun:Masc:Com:Pl:DefArt	oibriú
an	Art:Sg:Def	an
iarnróid	Noun:Masc:Gen:Sg:DefArt	iarnród
mí	Noun:Fem:Com:Sg	mí
ó	Prep:Simp	ó
shin	Pron:Dem	sin
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
sí	Pron:Pers:3P:Sg:Fem:Sbj	sí
le	Prep:Simp	le
dúnadh	Verbal:Noun:VTI	dúnadh
:	Punct:Int	:
'	Punct:Quo	'
Chuamar	Verb:VTI:PastInd:1P:Pl:Len	téigh
ag	Prep:Simp	ag
cruinniú	Noun:Masc:Com:Sg:DefArt	cruinniú
i	Prep:Simp	i
mBaile	Prop:Noun:Masc:Gen:Pl:Ecl	Baile
Átha	Prop:Noun:Masc:Gen:Sg:Len	Átha
an	Art:Sg:Def	an
Rí	Noun:Masc:Gen:Sg:DefArt	rí
agus	Conj:Coord	agus
dúirt	Verb:VTI:PastInd	abair
an	Art:Sg:Def	an
bhainistíocht	Noun:Fem:Com:Sg:DefArt	bainistíocht
linn	Pron:Prep:1P:Pl	le
ansin	Adv:Loc	ansin
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
deireadh	Noun:Masc:Com:Sg	deireadh
leis	Prep:Simp	le
an	Art:Sg:Def	an
tseirbhís	Noun:Fem:Com:Sg:DefArt	seirbhís
lasta	Noun:Masc:Gen:Sg	lasta
agus	Conj:Coord	agus
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
baol	Noun:Masc:Com:Sg	baol
ann	Pron:Prep:3P:Sg:Masc	i
dár	Prep:Poss:1P:Pl	do
bpostanna	Noun:Masc:Com:Pl	bpost
,	Punct:Int	,
'	Punct:Quo	'
a	Part:Vb:Rel:Direct	a
deir	Verb:VTI:PresInd	abair
Pat	Prop:Noun:Masc:Com:Sg	Pat
McDonagh	Prop:Noun:Masc:Com:Sg	McDonagh
,	Punct:Int	,
oibrí	Noun:Masc:Com:Sg	oibrí
ar	Prep:Simp	ar
an	Art:Sg:Def	an
líne	Noun:Fem:Com:Sg:DefArt	líne
le	Prep:Simp	le
25	Num:Dig	25
bliain	Noun:Fem:Com:Sg	bliain
anuas	Adv:Dir	anuas
.	Punct:Fin	.
Tá	Verb:VI:PresInd	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
ina	Prep:Poss:3P:Pl	i
chodladh	Noun:Masc:Com:Sg:Len	codladh
.	Punct:Fin	.
Is	Cop:Pres	is
leabhar	Noun:Masc:Com:Sg	leabhar
a	Part:Vb:Rel:Direct	a
thug	Verb:VD:PastInd:Len	tabhair
sí	Pron:Pers:3P:Sg:Fem:Sbj	sí
do	Prep:Simp	do
Mháire	Prop:Noun:Fem:Com:Sg:Len	Máire
.	Punct:Fin	.
Níor	Part:Vb:Neg:Past	níor
chuir	Verb:VTI:PastInd:Neg:Len	cuir
sin	Pron:Dem	sin
aon	Det:Qty:Idf	aon
imní	Noun:Fem:Com:Sg	imní
orm	Pron:Prep:1P:Sg	ar
.	Punct:Fin	.
Amach	Adv:Dir	amach
leis	Pron:Prep:3P:Sg:Masc	le
gur	Part:Vb:Past	gur
rug	Verb:VTI:PastInd	beir
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
ar	Prep:Simp	ar
thacsaí	Noun:Masc:Com:Sg:Len	tacsaí
.	Punct:Fin	.
Is	Cop:Pres	is
é	Pron:Pers:3P:Sg:Masc	é
a	Part:Vb:Rel:Direct	a
tharla	Verb:VTI:PastInd:Len	tarlaigh
ná	Conj:Coord	ná
gur	Part:Vb:Past	gur
cuireadh	Verb:VTI:PastInd:Auto	cuir
an	Art:Sg:Def	an
dlí	Noun:Masc:Com:Sg:DefArt	dlí
ar	Prep:Simp	ar
Burton	Prop:Noun:Masc:Com:Sg	Burton
agus	Conj:Coord	agus
iarradh	Verbal:Noun	iarraidh
uirthi	Pron:Prep:3P:Sg:Fem	ar
a	Det:Poss:3P:Sg:Fem	a
ráiteas	Noun:Masc:Com:Sg	ráiteas
a	Part:Inf	a
tharraingt	Verbal:Noun:VTI:Len	tarraingt
siar	Adv:Dir	siar
.	Punct:Fin	.
'	Punct:Quo	'
CÉIMÍOCHT	Noun:Fem:Com:Sg	céimíocht
:	Punct:Int	:
Páistí	Noun:Masc:Com:Pl	páiste
Naíscoil	Noun:Fem:Com:Sg	naíscoil
an	Art:Sg:Def	an
Lóiste	Noun:Masc:Gen:Sg:DefArt	lóiste
Úir	Adj:Masc:Gen:Sg	úr
atá	Verb:PresInd:Rel	bí
ag	Prep:Simp	ag
dul	Verbal:Noun:VTI	dul
isteach	Adv:Dir	isteach
i	Prep:Simp	i
rang	Noun:Masc:Com:Sg	rang
1	Num:Dig	1
Bunscoil	Noun:Fem:Com:Sg	bunscoil
Mhic	Part:Pat	mac
Reachtain	Prop:Noun:Fem:Gen:Sg	Reachtain
i	Prep:Simp	i
mbliana	Noun:Fem:Dat:Sg:Ecl	bliain
.	Punct:Fin	.
Ba	Cop:Past	is
leor	Adj:Base	leor
an	Art:Sg:Def	an
teoiric	Noun:Fem:Com:Sg	teoiric
seo	Det:Dem	seo
i	Prep:Simp	i
gcúrsaí	Noun:Masc:Com:Pl:Ecl	cúrsa
eolaíochta	Noun:Fem:Gen:Sg	eolaíocht
agus	Conj:Coord	agus
teicneolaíochta	Noun:Fem:Gen:Sg	teicneolaíocht
ar	Prep:Simp	ar
feadh	Noun:Masc:Com:Sg	feadh
dhá	Num:Card	dó
chéad	Num:Card:Len	céad
bliain	Noun:Fem:Com:Sg	bliain
ach	Conj:Subord	ach
bhí	Verb:PastInd:Len	bí
sí	Pron:Pers:3P:Sg:Fem:Sbj	sí
fabhtach	Adj:Base	fabhtach
chun	Prep:Simp	chun
cur	Verbal:Noun:VTI	cur
síos	Adv:Dir	síos
ar	Prep:Simp	ar
ghluaisní	Noun:Fem:Com:Sg	ní
le	Prep:Simp	le
luas	Noun:Masc:Com:Sg	luas
gar	Noun:Masc:Com:Sg	gar
do	Prep:Simp	do
luas	Noun:Masc:Com:Sg	luas
an	Art:Sg:Def	an
